Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
New Super Mario Bros| https://www.vgchartz.com/game/1582/new-super-mario-bros/| 2006| Platform| Nintendo| 11.28| 9.19| 6.50| 2.89| 29.85| Nintendo DS
Nintendogs| https://www.vgchartz.com/game/1657/nintendogs/| 2005| Simulation| Nintendo| 9.05| 10.96| 1.93| 2.74| 24.68| Nintendo DS
Mario Kart DS| https://www.vgchartz.com/game/1254/mario-kart-ds/| 2005| Racing| Nintendo| 9.71| 7.51| 4.13| 1.91| 23.26| Nintendo DS
Brain Training| https://www.vgchartz.com/game/2948/brain-age-train-your-brain-in-minutes-a-day/| 2005| Misc| Nintendo| 4.74| 9.21| 4.16| 2.04| 20.16| Nintendo DS
Pokemon Diamond / Pearl| https://www.vgchartz.com/game/4022/pokemon-diamond-pearl-version/| 2006| Role-Playing| Nintendo| 6.38| 4.47| 6.04| 1.36| 18.25| Nintendo DS
More Brain Training| https://www.vgchartz.com/game/3841/brain-age-2-more-training-in-minutes-a-day/| 2005| Misc| Nintendo| 3.43| 5.36| 5.32| 1.18| 15.29| Nintendo DS
Pokémon Black / White Version| https://www.vgchartz.com/game/44573/pokemon-black-white-version/| 2010| Role-Playing| Nintendo| 5.51| 3.20| 5.66| 0.80| 15.18| Nintendo DS
Animal Crossing: Wild World| https://www.vgchartz.com/game/82/animal-crossing-wild-world/| 2005| Simulation| Nintendo| 2.50| 3.46| 5.33| 0.86| 12.14| Nintendo DS
Pokemon Heart Gold / Soul Silver| https://www.vgchartz.com/game/34267/pokemon-heart-gold-soul-silver-version/| 2009| Role-Playing| Nintendo| 4.34| 2.72| 3.96| 0.76| 11.78| Nintendo DS
Super Mario 64| https://www.vgchartz.com/game/71893/super-mario-64-ds/| 2004| Platform| Nintendo| 5.01| 3.08| 1.25| 0.97| 10.32| Nintendo DS
Mario Party DS| https://www.vgchartz.com/game/6973/mario-party-ds/| 2007| Misc| Nintendo| 4.40| 1.86| 1.98| 0.69| 8.93| Nintendo DS
Pokemon Black / White Version 2| https://www.vgchartz.com/game/70468/pokemon-black-2-and-white-2/| 2012| Role-Playing| Nintendo| 2.79| 1.79| 3.16| 0.43| 8.16| Nintendo DS
Pokemon Platinum| https://www.vgchartz.com/game/23893/pokemon-platinum-version/| 2008| Role-Playing| Nintendo| 2.76| 1.73| 2.69| 0.54| 7.72| Nintendo DS
Big Brain Academy| https://www.vgchartz.com/game/193/big-brain-academy/| 2005| Misc| Nintendo| 1.66| 2.75| 1.60| 0.62| 6.63| Nintendo DS
Dragon Quest IX| https://www.vgchartz.com/game/7147/dragon-quest-ix-sentinels-of-the-starry-skies/| 2009| Role-Playing| Nintendo| 0.63| 0.67| 4.35| 0.15| 5.79| Nintendo DS
Cooking Mama| https://www.vgchartz.com/game/399/cooking-mama/| 2006| Simulation| Majesco| 3.09| 1.92| 0.07| 0.58| 5.66| Nintendo DS
Professor Layton and the Mysterious Village| https://www.vgchartz.com/game/12995/professor-layton-and-the-curious-village/| 2007| Adventure| Nintendo| 1.21| 2.44| 1.03| 0.51| 5.20| Nintendo DS
Mario & Sonic at the Olympic Games| https://www.vgchartz.com/game/7708/mario-amp-sonic-at-the-olympic-games/| 2008| Sports| Sega| 1.63| 2.46| 0.44| 0.57| 5.10| Nintendo DS
The Legend of Zelda: Phantom Hourglass| https://www.vgchartz.com/game/6790/the-legend-of-zelda-phantom-hourglass/| 2007| Adventure| Nintendo| 1.85| 1.80| 0.95| 0.48| 5.09| Nintendo DS
Pokemon Mysterious Dungeon 2: Time / Darkness Exploration Team| https://www.vgchartz.com/game/7390/pokemon-mystery-dungeon-explorers-of-time-darkness/| 2007| Role-Playing| Nintendo| 1.83| 1.19| 1.54| 0.37| 4.94| Nintendo DS
Lego Star Wars: The Complete Saga| https://www.vgchartz.com/game/12562/lego-star-wars-the-complete-saga/| 2007| Action| LucasArts| 2.83| 1.49| 0.00| 0.45| 4.77| Nintendo DS
Professor Layton and Pandora's Box| https://www.vgchartz.com/game/13008/professor-layton-and-the-diabolical-box/| 2007| Adventure| Level 5| 0.90| 1.76| 0.92| 0.37| 3.95| Nintendo DS
Sight Training| https://www.vgchartz.com/game/12879/flash-focus-vision-training-in-minutes-a-day/| 2007| Misc| Nintendo| 0.86| 1.56| 1.05| 0.35| 3.83| Nintendo DS
Mario & Luigi 3| https://www.vgchartz.com/game/32125/mario-amp-luigi-bowsers-inside-story/| 2009| Role-Playing| Nintendo| 2.23| 0.47| 0.81| 0.27| 3.77| Nintendo DS
Tomodachi Collection| https://www.vgchartz.com/game/35684/tomodachi-collection/| 2009| Misc| Nintendo| 0.00| 0.00| 3.67| 0.00| 3.67| Nintendo DS
MySims| https://www.vgchartz.com/game/7494/mysims/| 2007| Simulation| Electronic Arts| 1.58| 1.60| 0.08| 0.40| 3.66| Nintendo DS
Cooking Mama 2: Dinner With Friends| https://www.vgchartz.com/game/12740/cooking-mama-2-dinner-with-friends/| 2007| Simulation| Majesco| 1.60| 1.49| 0.10| 0.39| 3.58| Nintendo DS
Mario & Sonic at the Olympic Winter Games| https://www.vgchartz.com/game/31660/mario-amp-sonic-at-the-olympic-winter-games/| 2009| Sports| Sega| 1.21| 1.63| 0.27| 0.37| 3.47| Nintendo DS
Guitar Hero: On Tour| https://www.vgchartz.com/game/16432/guitar-hero-on-tour/| 2008| Misc| Activision| 2.10| 1.01| 0.01| 0.35| 3.46| Nintendo DS
Clubhouse Games| https://www.vgchartz.com/game/368/clubhouse-games/| 2006| Misc| Nintendo| 0.59| 1.80| 0.73| 0.34| 3.45| Nintendo DS
English Training for Adults| https://www.vgchartz.com/game/3210/english-training-have-fun-improving-your-skills/| 2006| Misc| Nintendo| 0.00| 0.99| 2.32| 0.02| 3.33| Nintendo DS
The Legend of Zelda: Spirit Tracks| https://www.vgchartz.com/game/32942/the-legend-of-zelda-spirit-tracks/| 2009| Adventure| Nintendo| 1.40| 0.92| 0.74| 0.26| 3.32| Nintendo DS
Professor Layton and the Final Time Journey| https://www.vgchartz.com/game/29427/professor-layton-and-the-unwound-future/| 2008| Adventure| Level 5| 0.61| 1.58| 0.82| 0.27| 3.28| Nintendo DS
Club Penguin: Elite Penguin Force| https://www.vgchartz.com/game/25986/club-penguin-elite-penguin-force/| 2008| Adventure| Disney Interactive Studios| 1.87| 0.97| 0.00| 0.30| 3.14| Nintendo DS
Sonic Rush| https://www.vgchartz.com/game/2111/sonic-rush/| 2005| Platform| Sega| 1.21| 1.56| 0.06| 0.29| 3.13| Nintendo DS
Cooking Guide: Can't Decide What To Eat?| https://www.vgchartz.com/game/22394/personal-trainer-cooking/| 2006| Misc| Nintendo| 0.91| 1.01| 1.03| 0.17| 3.13| Nintendo DS
Rhythm Heaven| https://www.vgchartz.com/game/25553/rhythm-heaven/| 2008| Music| Nintendo| 0.55| 0.50| 1.93| 0.14| 3.12| Nintendo DS
Lego Batman: The Videogame| https://www.vgchartz.com/game/18595/lego-batman-the-videogame/| 2008| Adventure| Warner Bros. Interactive| 1.75| 1.02| 0.00| 0.29| 3.06| Nintendo DS
Kirby Super Star Ultra| https://www.vgchartz.com/game/24035/kirby-super-star-ultra/| 2008| Platform| Nintendo| 1.55| 0.04| 1.19| 0.15| 2.92| Nintendo DS
Imagine: Babies| https://www.vgchartz.com/game/13430/imagine-babyz/| 2007| Simulation| Ubisoft| 1.30| 1.26| 0.00| 0.31| 2.87| Nintendo DS
Imagine: Fashion Designer| https://www.vgchartz.com/game/12867/imagine-fashion-designer/| 2007| Simulation| Ubisoft| 1.32| 1.19| 0.00| 0.30| 2.81| Nintendo DS
Yoshi Island DS| https://www.vgchartz.com/game/4771/yoshis-island-ds/| 2006| Platform| Nintendo| 1.45| 0.07| 1.10| 0.15| 2.77| Nintendo DS
Layton Kyouju to Majin no Fue| https://www.vgchartz.com/game/36335/professor-layton-and-the-last-specter/| 2009| Adventure| Level 5| 0.28| 1.41| 0.68| 0.32| 2.68| Nintendo DS
Mario vs. Donkey Kong: Mini-Land Mayhem!| https://www.vgchartz.com/game/45675/mario-vs-donkey-kong-mini-land-mayhem/| 2010| Puzzle| Nintendo| 1.63| 0.51| 0.35| 0.18| 2.68| Nintendo DS
Hannah Montana| https://www.vgchartz.com/game/944/hannah-montana/| 2006| Action| Buena Vista| 1.59| 0.80| 0.00| 0.26| 2.65| Nintendo DS
Wagamama Fashion: Gals Mode| https://www.vgchartz.com/game/28294/style-savvy/| 2008| Simulation| Nintendo| 0.62| 0.82| 0.96| 0.18| 2.58| Nintendo DS
Eigokoro Kyoushitsu DS| https://www.vgchartz.com/game/45454/art-academy/| 2010| Misc| Nintendo| 0.26| 1.66| 0.33| 0.27| 2.52| Nintendo DS
Wario Ware: Touched| https://www.vgchartz.com/game/6764/warioware-touched/| 2004| Puzzle| Nintendo| 0.51| 0.45| 1.21| 0.13| 2.30| Nintendo DS
LEGO Harry Potter: Years 1-4| https://www.vgchartz.com/game/42747/lego-harry-potter-years-1-4/| 2010| Adventure| Warner Bros. Interactive| 1.07| 1.00| 0.00| 0.22| 2.29| Nintendo DS
