Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Mario Kart 8 Deluxe| https://www.vgchartz.com/game/153114/mario-kart-8-deluxe/| 2017| Racing| Nintendo| 5.05| 4.98| 2.11| 0.91| 13.05| Nintendo Switch
Super Mario Odyssey| https://www.vgchartz.com/game/152831/super-mario-odyssey/| 2017| Platform| Nintendo| 5.10| 3.75| 2.02| 0.84| 11.71| Nintendo Switch
The Legend of Zelda: Breath of the Wild| https://www.vgchartz.com/game/118753/the-legend-of-zelda-breath-of-the-wild/| 2017| Action-Adventure| Nintendo| 4.54| 2.94| 1.26| 0.73| 9.46| Nintendo Switch
Splatoon 2| https://www.vgchartz.com/game/153120/splatoon-2/| 2017| Shooter| Nintendo| 1.90| 1.80| 3.01| 0.34| 7.04| Nintendo Switch
Mario + Rabbids Kingdom Battle| https://www.vgchartz.com/game/181862/mario-rabbids-kingdom-battle/| 2017| Strategy| Ubisoft| 1.10| 1.08| 0.22| 0.20| 2.59| Nintendo Switch
1-2-Switch| https://www.vgchartz.com/game/153115/1-2-switch/| 2017| Party| Nintendo| 0.62| 1.20| 0.50| 0.15| 2.46| Nintendo Switch
Kirby| https://www.vgchartz.com/game/182718/kirby-star-allies/| 2018| Platform| Nintendo| 0.75| 0.41| 0.72| 0.11| 1.99| Nintendo Switch
Arms| https://www.vgchartz.com/game/153117/arms/| 2017| Fighting| Nintendo| 0.90| 0.48| 0.47| 0.14| 1.99| Nintendo Switch
Minecraft| https://www.vgchartz.com/game/168268/minecraft/| 2018| Sandbox| Mojang| 0.69| 0.56| 0.52| 0.12| 1.89| Nintendo Switch
Pokken Tournament| https://www.vgchartz.com/game/181422/pokken-tournament-dx/| 2017| Fighting| Nintendo| 0.79| 0.47| 0.32| 0.12| 1.71| Nintendo Switch
Xenoblade Chronicles 2| https://www.vgchartz.com/game/152832/xenoblade-chronicles-2/| 2017| Role-Playing| Nintendo| 0.55| 0.52| 0.24| 0.10| 1.40| Nintendo Switch
The Elder Scrolls V: Skyrim| https://www.vgchartz.com/game/161518/the-elder-scrolls-v-skyrim/| 2017| Role-Playing| Bethesda Softworks| 0.67| 0.32| 0.06| 0.10| 1.15| Nintendo Switch
FIFA 18| https://www.vgchartz.com/game/180527/fifa-18/| 2017| Sports| EA Sports| 0.35| 0.55| 0.13| 0.07| 1.10| Nintendo Switch
Project Octopath Traveler| https://www.vgchartz.com/game/213656/octopath-traveler/| 2018| Role-Playing| Nintendo| 0.49| 0.23| 0.23| 0.07| 1.02| Nintendo Switch
Super Bomberman R| https://www.vgchartz.com/game/153119/super-bomberman-r/| 2017| Puzzle| Konami Digital Entertainment| 0.31| 0.32| 0.19| 0.06| 0.87| Nintendo Switch
Just Dance 2018| https://www.vgchartz.com/game/203200/just-dance-2018/| 2017| Music| Ubisoft| 0.30| 0.40| 0.00| 0.06| 0.76| Nintendo Switch
Sonic Forces| https://www.vgchartz.com/game/194444/sonic-forces/| 2017| Platform| Sega| 0.39| 0.27| 0.01| 0.06| 0.74| Nintendo Switch
Monster Hunter Double Cross| https://www.vgchartz.com/game/199845/monster-hunter-generations-ultimate/| 2017| Action| Capcom| 0.27| 0.14| 0.27| 0.04| 0.72| Nintendo Switch
Rayman Legends| https://www.vgchartz.com/game/192884/rayman-legends/| 2017| Platform| Ubisoft| 0.23| 0.40| 0.00| 0.05| 0.69| Nintendo Switch
LEGO Marvel Super Heroes 2| https://www.vgchartz.com/game/176547/lego-marvel-super-heroes-2/| 2017| Action| Warner Bros. Interactive Entertainment| 0.31| 0.29| 0.01| 0.06| 0.67| Nintendo Switch
LEGO City Undercover| https://www.vgchartz.com/game/153125/lego-city-undercover/| 2017| Platform| Warner Bros. Interactive Entertainment| 0.23| 0.33| 0.03| 0.05| 0.65| Nintendo Switch
LEGO Worlds| https://www.vgchartz.com/game/192936/lego-worlds/| 2017| Misc| Warner Bros. Interactive Entertainment| 0.21| 0.33| 0.00| 0.04| 0.58| Nintendo Switch
Ultra Street Fighter II: The Final Challengers| https://www.vgchartz.com/game/161516/ultra-street-fighter-ii-the-final-challengers/| 2017| Fighting| Capcom| 0.22| 0.22| 0.09| 0.04| 0.57| Nintendo Switch
