Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Wii Sports| https://www.vgchartz.com/game/2667/wii-sports/| 2006| Sports| Nintendo| 41.36| 29.02| 3.77| 8.51| 82.65| Nintendo Wii
Mario Kart Wii| https://www.vgchartz.com/game/6968/mario-kart-wii/| 2008| Racing| Nintendo| 15.91| 12.92| 3.80| 3.35| 35.98| Nintendo Wii
Wii Sports Resort| https://www.vgchartz.com/game/24656/wii-sports-resort/| 2009| Sports| Nintendo| 15.61| 10.99| 3.29| 3.02| 32.90| Nintendo Wii
Wii Play| https://www.vgchartz.com/game/2666/wii-play/| 2006| Misc| Nintendo| 13.96| 9.18| 2.93| 2.85| 28.92| Nintendo Wii
New Super Mario Bros. Wii| https://www.vgchartz.com/game/35076/new-super-mario-bros-wii/| 2009| Platform| Nintendo| 14.53| 7.01| 4.70| 2.27| 28.51| Nintendo Wii
Wii Fit| https://www.vgchartz.com/game/7480/wii-fit/| 2007| Sports| Nintendo| 8.92| 8.03| 3.60| 2.15| 22.70| Nintendo Wii
Wii Fit Plus| https://www.vgchartz.com/game/35077/wii-fit-plus/| 2009| Sports| Nintendo| 9.01| 8.51| 2.53| 1.76| 21.81| Nintendo Wii
Super Smash Bros Brawl| https://www.vgchartz.com/game/6962/super-smash-bros-brawl/| 2008| Fighting| Nintendo| 6.64| 2.57| 2.67| 1.03| 12.91| Nintendo Wii
Super Mario Galaxy| https://www.vgchartz.com/game/6963/super-mario-galaxy/| 2007| Platform| Nintendo| 6.06| 3.38| 1.20| 0.76| 11.40| Nintendo Wii
Just Dance 3| https://www.vgchartz.com/game/48264/just-dance-3/| 2011| Misc| Ubisoft| 5.95| 3.13| 0.00| 1.06| 10.14| Nintendo Wii
Just Dance 2| https://www.vgchartz.com/game/45671/just-dance-2/| 2010| Misc| Ubisoft| 5.80| 2.86| 0.01| 0.77| 9.45| Nintendo Wii
Wii Party| https://www.vgchartz.com/game/45079/wii-party/| 2010| Misc| Nintendo| 1.75| 3.51| 2.49| 0.66| 8.41| Nintendo Wii
Mario Party 8| https://www.vgchartz.com/game/6091/mario-party-8/| 2007| Misc| Nintendo| 3.74| 2.27| 1.58| 0.70| 8.30| Nintendo Wii
Mario & Sonic at the Olympic Games| https://www.vgchartz.com/game/7707/mario-amp-sonic-at-the-olympic-games/| 2007| Sports| Sega| 2.57| 3.87| 0.66| 0.90| 8.00| Nintendo Wii
Super Mario Galaxy 2| https://www.vgchartz.com/game/35084/super-mario-galaxy-2/| 2010| Platform| Nintendo| 3.59| 2.37| 0.98| 0.62| 7.57| Nintendo Wii
Just Dance| https://www.vgchartz.com/game/40053/just-dance/| 2009| Misc| Ubisoft| 3.48| 2.99| 0.00| 0.73| 7.21| Nintendo Wii
The Legend of Zelda: Twilight Princess| https://www.vgchartz.com/game/4573/the-legend-of-zelda-twilight-princess/| 2006| Adventure| Nintendo| 3.74| 2.16| 0.60| 0.69| 7.18| Nintendo Wii
Just Dance 4| https://www.vgchartz.com/game/70917/just-dance-4/| 2012| Music| Ubisoft| 4.05| 2.21| 0.00| 0.62| 6.89| Nintendo Wii
Zumba Fitness| https://www.vgchartz.com/game/47163/zumba-fitness/| 2010| Sports| Majesco| 3.47| 2.62| 0.00| 0.67| 6.76| Nintendo Wii
Donkey Kong Country Returns| https://www.vgchartz.com/game/45674/donkey-kong-country-returns/| 2010| Platform| Nintendo| 3.19| 1.81| 1.03| 0.47| 6.50| Nintendo Wii
Lego Star Wars: The Complete Saga| https://www.vgchartz.com/game/12477/lego-star-wars-the-complete-saga/| 2007| Action| LucasArts| 3.57| 1.57| 0.00| 0.52| 5.66| Nintendo Wii
Link's Crossbow Training| https://www.vgchartz.com/game/13012/links-crossbow-training/| 2007| Shooter| Nintendo| 3.05| 1.17| 0.29| 0.46| 4.98| Nintendo Wii
Animal Crossing: City Folk| https://www.vgchartz.com/game/24660/animal-crossing-city-folk/| 2008| Simulation| Nintendo| 1.84| 1.13| 1.32| 0.36| 4.65| Nintendo Wii
Guitar Hero III: Legends of Rock| https://www.vgchartz.com/game/7337/guitar-hero-iii-legends-of-rock/| 2007| Misc| Activision| 3.04| 1.12| 0.00| 0.44| 4.60| Nintendo Wii
Mario & Sonic at the Olympic Winter Games| https://www.vgchartz.com/game/31661/mario-amp-sonic-at-the-olympic-winter-games/| 2009| Sports| Sega| 1.87| 1.97| 0.22| 0.48| 4.54| Nintendo Wii
Michael Jackson The Game| https://www.vgchartz.com/game/45662/michael-jackson-the-experience/| 2010| Misc| Ubisoft| 2.64| 1.33| 0.01| 0.39| 4.37| Nintendo Wii
Carnival Games| https://www.vgchartz.com/game/7221/carnival-games/| 2007| Misc| 2K Play| 2.12| 1.47| 0.05| 0.42| 4.06| Nintendo Wii
The Legend of Zelda: Skyward Sword| https://www.vgchartz.com/game/45669/the-legend-of-zelda-skyward-sword/| 2011| Adventure| Nintendo| 2.03| 1.18| 0.37| 0.39| 3.96| Nintendo Wii
EA Sports Active| https://www.vgchartz.com/game/28824/ea-sports-active/| 2009| Sports| EA Sports| 2.11| 1.35| 0.06| 0.40| 3.93| Nintendo Wii
Just Dance 2014| https://www.vgchartz.com/game/73119/just-dance-2014/| 2013| Music| Ubisoft| 1.91| 1.66| 0.00| 0.33| 3.89| Nintendo Wii
Big Brain Academy: Wii Degree| https://www.vgchartz.com/game/2906/big-brain-academy-wii-degree/| 2007| Misc| Nintendo| 1.05| 1.91| 0.41| 0.42| 3.79| Nintendo Wii
Super Paper Mario| https://www.vgchartz.com/game/4448/super-paper-mario/| 2007| Platform| Nintendo| 1.95| 0.87| 0.59| 0.32| 3.73| Nintendo Wii
Mario & Sonic at the London 2012 Olympic Games| https://www.vgchartz.com/game/50943/mario-amp-sonic-at-the-london-2012-olympic-games/| 2011| Sports| Sega| 1.12| 1.90| 0.27| 0.43| 3.72| Nintendo Wii
Guitar Hero: World Tour| https://www.vgchartz.com/game/23198/guitar-hero-world-tour/| 2008| Misc| Activision| 2.32| 0.96| 0.00| 0.34| 3.62| Nintendo Wii
Wii Music| https://www.vgchartz.com/game/24657/wii-music/| 2008| Music| Nintendo| 1.35| 1.12| 0.46| 0.32| 3.25| Nintendo Wii
Mario Party 9| https://www.vgchartz.com/game/51842/mario-party-9/| 2012| Party| Nintendo| 1.06| 1.15| 0.77| 0.22| 3.20| Nintendo Wii
Lego Batman: The Videogame| https://www.vgchartz.com/game/23937/lego-batman-the-videogame/| N/A| Adventure| Warner Bros. Interactive| 1.80| 0.98| 0.00| 0.29| 3.08| Nintendo Wii
Epic Mickey| https://www.vgchartz.com/game/39480/disney-epic-mickey/| 2010| Platform| Disney Interactive Studios| 2.04| 0.63| 0.12| 0.23| 3.02| Nintendo Wii
Cooking Mama: Cook Off| https://www.vgchartz.com/game/3015/cooking-mama-cook-off/| 2007| Simulation| Majesco| 1.41| 1.12| 0.05| 0.30| 2.89| Nintendo Wii
Wario Ware: Smooth Moves| https://www.vgchartz.com/game/6151/warioware-smooth-moves/| 2006| Puzzle| Nintendo| 0.86| 1.05| 0.73| 0.26| 2.89| Nintendo Wii
Zumba Fitness 2| https://www.vgchartz.com/game/51188/zumba-fitness-2/| 2011| Sports| Majesco| 1.52| 1.05| 0.00| 0.26| 2.83| Nintendo Wii
Skylanders: Spyro's Adventure| https://www.vgchartz.com/game/50151/skylanders-spyros-adventure/| 2011| Action| Activision| 1.35| 1.15| 0.00| 0.30| 2.79| Nintendo Wii
Sonic and the Secret Rings| https://www.vgchartz.com/game/2104/sonic-and-the-secret-rings/| 2007| Platform| Sega| 1.23| 1.19| 0.04| 0.30| 2.75| Nintendo Wii
Super Mario Collection Special Pack| https://www.vgchartz.com/game/47092/super-mario-all-stars-limited-edition/| 2010| Platform| Nintendo| 1.04| 0.52| 0.92| 0.14| 2.62| Nintendo Wii
Mario Strikers Charged| https://www.vgchartz.com/game/6976/mario-strikers-charged/| 2007| Sports| Nintendo| 1.05| 1.05| 0.24| 0.24| 2.59| Nintendo Wii
Skylanders Giants| https://www.vgchartz.com/game/71070/skylanders-giants/| 2012| Misc| Activision| 1.49| 0.86| 0.00| 0.23| 2.58| Nintendo Wii
