Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Grand Theft Auto V| https://www.vgchartz.com/game/65884/grand-theft-auto-v/| 2013| Action| Rockstar Games| 6.37| 9.85| 0.99| 3.12| 20.32| PlayStation 3
Call of Duty: Black Ops II| https://www.vgchartz.com/game/70715/call-of-duty-black-ops-ii/| 2012| Shooter| Activision| 4.99| 5.88| 0.65| 2.28| 13.80| PlayStation 3
Call of Duty: Modern Warfare 3| https://www.vgchartz.com/game/44605/call-of-duty-modern-warfare-3/| 2011| Shooter| Activision| 5.54| 5.78| 0.49| 1.54| 13.35| PlayStation 3
Call of Duty: Black Ops| https://www.vgchartz.com/game/44951/call-of-duty-black-ops/| 2010| Shooter| Activision| 6.01| 4.40| 0.48| 1.78| 12.67| PlayStation 3
Gran Turismo 5| https://www.vgchartz.com/game/7678/gran-turismo-5/| 2010| Racing| Sony Computer Entertainment| 2.96| 4.87| 0.81| 2.10| 10.75| PlayStation 3
Call of Duty 6| https://www.vgchartz.com/game/28847/call-of-duty-modern-warfare-2/| 2009| Shooter| Activision| 4.99| 3.66| 0.38| 1.59| 10.61| PlayStation 3
Grand Theft Auto IV| https://www.vgchartz.com/game/7102/grand-theft-auto-iv/| 2008| Action| Rockstar Games| 4.79| 3.73| 0.44| 1.62| 10.57| PlayStation 3
Call of Duty: Modern Warfare 4 (Working Title)| https://www.vgchartz.com/game/71507/call-of-duty-ghosts/| 2013| Shooter| Activision| 4.11| 4.01| 0.39| 1.62| 10.13| PlayStation 3
FIFA 13| https://www.vgchartz.com/game/70738/fifa-13/| 2012| Sports| EA Sports| 1.07| 5.13| 0.13| 1.68| 8.01| PlayStation 3
Battlefield 3| https://www.vgchartz.com/game/40230/battlefield-3/| 2011| Shooter| Electronic Arts| 2.86| 2.94| 0.35| 1.07| 7.21| PlayStation 3
Uncharted 3: Drake's Deception| https://www.vgchartz.com/game/49054/uncharted-3-drakes-deception/| 2011| Action| Sony Computer Entertainment| 2.77| 2.81| 0.19| 1.06| 6.84| PlayStation 3
Uncharted 2| https://www.vgchartz.com/game/28733/uncharted-2-among-thieves/| 2009| Action| Sony Computer Entertainment| 3.28| 2.22| 0.21| 1.02| 6.74| PlayStation 3
Call of Duty 4: Modern Warfare| https://www.vgchartz.com/game/7607/call-of-duty-4-modern-warfare/| 2007| Shooter| Activision| 3.13| 2.27| 0.28| 1.04| 6.72| PlayStation 3
FIFA Soccer 12| https://www.vgchartz.com/game/50884/fifa-soccer-12/| 2011| Sports| EA Sports| 0.84| 4.33| 0.11| 1.37| 6.65| PlayStation 3
FIFA Soccer 14| https://www.vgchartz.com/game/72084/fifa-14/| 2013| Sports| EA Sports| 0.79| 4.77| 0.07| 0.98| 6.61| PlayStation 3
Red Dead Redemption| https://www.vgchartz.com/game/31326/red-dead-redemption/| 2010| Action| Rockstar Games| 2.82| 2.58| 0.17| 1.00| 6.57| PlayStation 3
Assassin's Creed III| https://www.vgchartz.com/game/70617/assassins-creed-iii/| 2012| Action-Adventure| Ubisoft| 2.65| 2.61| 0.16| 1.08| 6.50| PlayStation 3
Elder Scrolls V: Skyrim| https://www.vgchartz.com/game/49113/the-elder-scrolls-v-skyrim/| 2011| Role-Playing| Bethesda Softworks| 2.57| 2.68| 0.25| 0.99| 6.49| PlayStation 3
The Last Of Us| https://www.vgchartz.com/game/70350/the-last-of-us/| 2013| Action-Adventure| Sony Computer Entertainment Europe| 2.41| 2.57| 0.29| 0.99| 6.27| PlayStation 3
MineCraft| https://www.vgchartz.com/game/75585/minecraft/| 2014| Misc| Sony Computer Entertainment America| 2.21| 2.86| 0.00| 0.99| 6.05| PlayStation 3
Metal Gear Solid 4: Guns of the Patriots| https://www.vgchartz.com/game/6970/metal-gear-solid-4-guns-of-the-patriots/| 2008| Action| Konami| 2.63| 1.72| 0.83| 0.81| 6.00| PlayStation 3
LittleBigPlanet| https://www.vgchartz.com/game/12390/littlebigplanet/| 2008| Platform| Sony Computer Entertainment| 2.80| 2.01| 0.17| 0.87| 5.85| PlayStation 3
Assassin's Creed 2| https://www.vgchartz.com/game/29053/assassins-creed-ii/| 2009| Action| Ubisoft| 2.54| 1.95| 0.21| 0.86| 5.57| PlayStation 3
Batman: Arkham Asylum II| https://www.vgchartz.com/game/41799/batman-arkham-city/| 2011| Action| Warner Bros. Interactive| 2.72| 1.89| 0.11| 0.82| 5.54| PlayStation 3
Call of Duty: World at War| https://www.vgchartz.com/game/23993/call-of-duty-world-at-war/| 2008| Shooter| Activision| 2.75| 1.84| 0.00| 0.84| 5.43| PlayStation 3
Final Fantasy XIII| https://www.vgchartz.com/game/7727/final-fantasy-xiii/| 2009| Role-Playing| Square Enix| 1.75| 1.23| 1.87| 0.51| 5.35| PlayStation 3
Resident Evil 5| https://www.vgchartz.com/game/7675/resident-evil-5/| 2009| Action| Capcom| 1.96| 1.42| 1.08| 0.64| 5.10| PlayStation 3
FIFA Soccer 11| https://www.vgchartz.com/game/43328/fifa-soccer-11/| 2010| Sports| EA Sports| 0.61| 3.28| 0.06| 1.12| 5.08| PlayStation 3
Uncharted: Drakes Fortune| https://www.vgchartz.com/game/12778/uncharted-drakes-fortune/| 2007| Action| Sony Computer Entertainment| 2.32| 1.73| 0.12| 0.80| 4.97| PlayStation 3
