Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Grand Theft Auto V| https://www.vgchartz.com/game/73074/grand-theft-auto-v/| 2014| Action| Rockstar Games| 4.70| 3.25| 0.01| 0.76| 8.72| Xbox One
Call of Duty: Black Ops 3| https://www.vgchartz.com/game/85358/call-of-duty-black-ops-3/| 2015| Shooter| Activision| 4.63| 2.04| 0.02| 0.68| 7.37| Xbox One
Call of Duty: WWII| https://www.vgchartz.com/game/170598/call-of-duty-wwii/| 2017| Shooter| Activision| 3.75| 1.91| 0.00| 0.57| 6.23| Xbox One
Red Dead Redemption 2| https://www.vgchartz.com/game/140684/red-dead-redemption-2/| 2018| Action-Adventure| Rockstar Games| 3.76| 1.47| 0.00| 0.54| 5.77| Xbox One
MineCraft| https://www.vgchartz.com/game/73065/minecraft/| 2014| Misc| Microsoft Studios| 3.23| 1.71| 0.00| 0.49| 5.43| Xbox One
Call of Duty: Advanced Warfare| https://www.vgchartz.com/game/81798/call-of-duty-advanced-warfare/| 2014| Shooter| Activision| 3.25| 1.49| 0.01| 0.48| 5.22| Xbox One
Battlefield 1| https://www.vgchartz.com/game/110844/battlefield-1/| 2016| Shooter| Electronic Arts| 3.37| 1.26| 0.02| 0.48| 5.13| Xbox One
Fallout 4| https://www.vgchartz.com/game/85598/fallout-4/| 2015| Role-Playing| Bethesda Softworks| 2.94| 1.62| 0.02| 0.45| 5.03| Xbox One
Halo 5: Guardians| https://www.vgchartz.com/game/82148/halo-5-guardians/| 2015| Shooter| Microsoft Studios| 2.94| 1.49| 0.03| 0.45| 4.92| Xbox One
Call of Duty: Infinite Warfare| https://www.vgchartz.com/game/108778/call-of-duty-infinite-warfare/| 2016| Shooter| Activision| 2.91| 1.44| 0.00| 0.44| 4.79| Xbox One
Star Wars Battlefront (2015)| https://www.vgchartz.com/game/83363/star-wars-battlefront-2015/| 2015| Shooter| Electronic Arts| 2.49| 1.26| 0.02| 0.38| 4.15| Xbox One
Forza Horizon 3| https://www.vgchartz.com/game/119955/forza-horizon-3/| 2016| Racing| Microsoft Studios| 1.64| 1.96| 0.02| 0.32| 3.93| Xbox One
FIFA 17| https://www.vgchartz.com/game/117271/fifa-17/| 2016| Sports| Electronic Arts| 1.04| 2.40| 0.00| 0.27| 3.71| Xbox One
Gears of War: Ultimate Edition| https://www.vgchartz.com/game/85776/gears-of-war-ultimate-edition/| 2015| Shooter| Microsoft Studios| 2.88| 0.37| 0.00| 0.37| 3.62| Xbox One
Assassin's Creed: Unity| https://www.vgchartz.com/game/80236/assassins-creed-unity/| 2014| Action| Ubisoft| 2.34| 0.90| 0.00| 0.34| 3.58| Xbox One
Halo: The Master Chief Collection| https://www.vgchartz.com/game/83194/halo-the-master-chief-collection/| 2014| Shooter| Microsoft Studios| 2.06| 1.04| 0.03| 0.31| 3.44| Xbox One
Destiny| https://www.vgchartz.com/game/71524/destiny/| 2014| Shooter| Activision| 2.17| 0.92| 0.00| 0.32| 3.41| Xbox One
Gears of War 4| https://www.vgchartz.com/game/85730/gears-of-war-4/| 2016| Shooter| Microsoft Studios| 2.17| 0.90| 0.00| 0.32| 3.38| Xbox One
FIFA 16| https://www.vgchartz.com/game/85614/fifa-16/| 2015| Sports| EA Sports| 0.92| 2.10| 0.00| 0.24| 3.25| Xbox One
FIFA 18| https://www.vgchartz.com/game/180524/fifa-18/| 2017| Sports| EA Sports| 0.98| 1.92| 0.00| 0.23| 3.14| Xbox One
Titanfall| https://www.vgchartz.com/game/72891/titanfall/| 2014| Shooter| Electronic Arts| 1.88| 0.91| 0.04| 0.28| 3.11| Xbox One
Call of Duty: Ghosts| https://www.vgchartz.com/game/72087/call-of-duty-ghosts/| 2013| Shooter| Activision| 1.92| 0.86| 0.00| 0.28| 3.07| Xbox One
Overwatch| https://www.vgchartz.com/game/86156/overwatch/| 2016| Shooter| Blizzard Entertainment| 1.63| 0.84| 0.00| 0.25| 2.72| Xbox One
Tom Clancy's Rainbow Six: Siege| https://www.vgchartz.com/game/82932/tom-clancys-rainbow-six-siege/| 2015| Shooter| Ubisoft| 1.62| 0.84| 0.00| 0.25| 2.71| Xbox One
Tom Clancy's The Division| https://www.vgchartz.com/game/73094/tom-clancys-the-division/| 2016| Shooter| Ubisoft| 1.54| 0.82| 0.00| 0.24| 2.59| Xbox One
Assassin's Creed Origins| https://www.vgchartz.com/game/181688/assassins-creed-origins/| 2017| Action| Ubisoft| 1.34| 0.92| 0.00| 0.22| 2.47| Xbox One
Madden NFL 16| https://www.vgchartz.com/game/85397/madden-nfl-16/| 2015| Sports| EA Sports| 2.13| 0.08| 0.00| 0.26| 2.47| Xbox One
Madden NFL 17| https://www.vgchartz.com/game/86432/madden-nfl-17/| 2016| Sports| EA Sports| 2.14| 0.04| 0.00| 0.26| 2.44| Xbox One
NBA 2K16| https://www.vgchartz.com/game/85555/nba-2k16/| 2015| Sports| 2K Sports| 2.01| 0.15| 0.00| 0.25| 2.41| Xbox One
Forza Motorsport 5| https://www.vgchartz.com/game/72222/forza-motorsport-5/| 2013| Racing| Microsoft Studios| 1.28| 0.90| 0.01| 0.21| 2.40| Xbox One
Destiny 2| https://www.vgchartz.com/game/166063/destiny-2/| 2017| Shooter| Activision| 1.66| 0.47| 0.00| 0.23| 2.35| Xbox One
Assassin's Creed IV: Black Flag| https://www.vgchartz.com/game/71598/assassins-creed-iv-black-flag/| 2013| Action| Ubisoft| 1.51| 0.59| 0.00| 0.22| 2.32| Xbox One
