Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Kinect Adventures| https://www.vgchartz.com/game/45608/kinect-adventures/| 2010| Party| Microsoft Game Studios| 15.09| 4.97| 0.24| 1.81| 22.10| Xbox 360
Grand Theft Auto V| https://www.vgchartz.com/game/65883/grand-theft-auto-v/| 2013| Action| Rockstar Games| 9.06| 5.33| 0.06| 1.42| 15.86| Xbox 360
Call of Duty: Modern Warfare 3| https://www.vgchartz.com/game/44606/call-of-duty-modern-warfare-3/| 2011| Shooter| Activision| 9.07| 4.29| 0.13| 1.33| 14.82| Xbox 360
Call of Duty: Black Ops| https://www.vgchartz.com/game/44952/call-of-duty-black-ops/| 2010| Shooter| Activision| 9.76| 3.73| 0.11| 1.14| 14.74| Xbox 360
Call of Duty: Black Ops II| https://www.vgchartz.com/game/70716/call-of-duty-black-ops-ii/| 2012| Shooter| Activision| 8.27| 4.32| 0.07| 1.20| 13.86| Xbox 360
Call of Duty 6| https://www.vgchartz.com/game/28848/call-of-duty-modern-warfare-2/| 2009| Shooter| Activision| 8.54| 3.63| 0.08| 1.28| 13.53| Xbox 360
Halo 3| https://www.vgchartz.com/game/6964/halo-3/| 2007| Shooter| Microsoft Game Studios| 7.97| 2.81| 0.13| 1.21| 12.13| Xbox 360
Grand Theft Auto IV| https://www.vgchartz.com/game/7103/grand-theft-auto-iv/| 2008| Action| Rockstar Games| 6.80| 3.11| 0.14| 1.04| 11.09| Xbox 360
Call of Duty: Modern Warfare 4 (Working Title)| https://www.vgchartz.com/game/71508/call-of-duty-ghosts/| 2013| Shooter| Activision| 6.76| 2.64| 0.04| 0.98| 10.41| Xbox 360
Halo Reach| https://www.vgchartz.com/game/35024/halo-reach/| 2010| Shooter| Microsoft Game Studios| 7.08| 2.01| 0.08| 0.80| 9.97| Xbox 360
Halo 4| https://www.vgchartz.com/game/51758/halo-4/| 2012| Shooter| Microsoft Studios| 6.72| 2.36| 0.04| 0.83| 9.96| Xbox 360
MineCraft| https://www.vgchartz.com/game/51765/minecraft/| 2012| Misc| Microsoft Studios| 5.96| 2.94| 0.02| 0.90| 9.82| Xbox 360
Call of Duty 4: Modern Warfare| https://www.vgchartz.com/game/7316/call-of-duty-4-modern-warfare/| 2007| Shooter| Activision| 5.98| 2.39| 0.13| 0.91| 9.41| Xbox 360
Elder Scrolls V: Skyrim| https://www.vgchartz.com/game/49112/the-elder-scrolls-v-skyrim/| 2011| Role-Playing| Bethesda Softworks| 5.10| 2.83| 0.10| 0.85| 8.88| Xbox 360
Call of Duty: World at War| https://www.vgchartz.com/game/23992/call-of-duty-world-at-war/| 2008| Shooter| Activision| 4.88| 1.91| 0.00| 0.71| 7.50| Xbox 360
Battlefield 3| https://www.vgchartz.com/game/40231/battlefield-3/| 2011| Shooter| Electronic Arts| 4.47| 2.12| 0.06| 0.69| 7.35| Xbox 360
Gears of War 2| https://www.vgchartz.com/game/16548/gears-of-war-2/| 2008| Shooter| Microsoft Game Studios| 4.15| 1.91| 0.06| 0.64| 6.75| Xbox 360
Red Dead Redemption| https://www.vgchartz.com/game/31325/red-dead-redemption/| 2010| Action| Rockstar Games| 3.77| 2.03| 0.09| 0.60| 6.50| Xbox 360
Halo 3: ODST| https://www.vgchartz.com/game/29077/halo-3-odst/| 2009| Shooter| Microsoft Game Studios| 4.34| 1.34| 0.06| 0.61| 6.35| Xbox 360
Kinect Sports| https://www.vgchartz.com/game/45607/kinect-sports/| 2010| Sports| Microsoft Game Studios| 3.92| 1.73| 0.03| 0.55| 6.23| Xbox 360
Gears of War 3| https://www.vgchartz.com/game/44123/gears-of-war-3/| 2011| Shooter| Microsoft Studios| 4.05| 1.59| 0.07| 0.50| 6.22| Xbox 360
Gears Of War| https://www.vgchartz.com/game/843/gears-of-war/| 2006| Shooter| Microsoft Game Studios| 3.54| 1.88| 0.07| 0.60| 6.09| Xbox 360
Assassins Creed| https://www.vgchartz.com/game/12728/assassins-creed/| 2007| Action| Ubisoft| 3.28| 1.64| 0.07| 0.56| 5.55| Xbox 360
Forza Motorsport 3| https://www.vgchartz.com/game/30434/forza-motorsport-3/| 2009| Racing| Microsoft Game Studios| 2.99| 1.90| 0.10| 0.51| 5.50| Xbox 360
Assassin's Creed III| https://www.vgchartz.com/game/70618/assassins-creed-iii/| 2012| Action-Adventure| Ubisoft| 3.13| 1.71| 0.03| 0.45| 5.31| Xbox 360
Assassin's Creed 2| https://www.vgchartz.com/game/29056/assassins-creed-ii/| 2009| Action| Ubisoft| 3.14| 1.55| 0.08| 0.52| 5.30| Xbox 360
FIFA 13| https://www.vgchartz.com/game/70737/fifa-13/| 2012| Sports| EA Sports| 1.10| 3.49| 0.03| 0.50| 5.11| Xbox 360
Fable III| https://www.vgchartz.com/game/37876/fable-iii/| 2010| Role-Playing| Microsoft Game Studios| 3.59| 1.09| 0.05| 0.37| 5.10| Xbox 360
Fallout 3| https://www.vgchartz.com/game/6992/fallout-3/| 2008| Role-Playing| Bethesda Softworks| 3.41| 0.99| 0.09| 0.46| 4.96| Xbox 360
Batman: Arkham Asylum II| https://www.vgchartz.com/game/41800/batman-arkham-city/| 2011| Action| Warner Bros. Interactive| 2.99| 1.28| 0.04| 0.44| 4.75| Xbox 360
Forza Motorsport 4| https://www.vgchartz.com/game/45656/forza-motorsport-4/| 2011| Racing| Microsoft Studios| 2.08| 1.98| 0.06| 0.49| 4.60| Xbox 360
Guitar Hero III: Legends of Rock| https://www.vgchartz.com/game/7339/guitar-hero-iii-legends-of-rock/| 2007| Misc| Activision| 3.19| 0.91| 0.01| 0.42| 4.53| Xbox 360
Elder Scrolls IV: Oblivion| https://www.vgchartz.com/game/636/the-elder-scrolls-iv-oblivion/| 2006| Role-Playing| Spike| 2.89| 1.03| 0.13| 0.41| 4.47| Xbox 360
Call of Duty: Advanced Warfare| https://www.vgchartz.com/game/81794/call-of-duty-advanced-warfare/| 2014| Shooter| Activision| 2.81| 1.13| 0.00| 0.41| 4.34| Xbox 360
Fable II| https://www.vgchartz.com/game/7636/fable-ii/| 2008| Role-Playing| Microsoft Game Studios| 2.51| 1.24| 0.11| 0.41| 4.28| Xbox 360
Assassin's Creed: Revelations| https://www.vgchartz.com/game/51023/assassins-creed-revelations/| 2011| Action| Ubisoft| 2.28| 1.47| 0.04| 0.44| 4.22| Xbox 360
FIFA Soccer 12| https://www.vgchartz.com/game/50885/fifa-soccer-12/| 2011| Sports| EA Sports| 0.85| 2.79| 0.02| 0.52| 4.18| Xbox 360
FIFA Soccer 14| https://www.vgchartz.com/game/72085/fifa-14/| 2013| Sports| EA Sports| 0.94| 2.92| 0.01| 0.29| 4.15| Xbox 360
Fallout: New Vegas| https://www.vgchartz.com/game/33663/fallout-new-vegas/| 2010| Role-Playing| Bethesda Softworks| 2.67| 1.03| 0.04| 0.34| 4.08| Xbox 360
Forza Motorsport 2| https://www.vgchartz.com/game/6076/forza-motorsport-2/| 2007| Racing| Microsoft Game Studios| 2.35| 1.27| 0.03| 0.41| 4.05| Xbox 360
Left 4 Dead 2| https://www.vgchartz.com/game/35020/left-4-dead-2/| 2009| Shooter| Electronic Arts| 2.67| 0.88| 0.05| 0.38| 3.97| Xbox 360
Lego Indiana Jones: The Original Adventures| https://www.vgchartz.com/game/15206/lego-indiana-jones-the-original-adventures/| 2008| Adventure| LucasArts| 2.40| 1.01| 0.00| 0.36| 3.76| Xbox 360
