platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Nintendo Wii U|FINDING TEDDY 2|7|02/03/2020|N|N|N|N|N|N|Y|N|FINDING TEDDY II â¦ Enter a new adventure. After the success of Finding Teddy, discover the sequel to this fanstasy adventure. Once again youâll have to solve numerous puzzles and find your way out...|Free Agent Games|Nintendo Wii U, Nintendo Switch
Nintendo Wii U|SHMUP Collection|7|15/02/2020|N|N|N|N|N|N|Y|N|SHMUP Collection regroups two superb Shoot'Em Up. Get ready to blast all enemies, and force your way out of this alien infested universe.|Free Agent Games|Nintendo Wii U
Nintendo Wii U|Just Dance 2019|3|25/10/2018|N|N|N|N|N|N|N|N|Just Dance 2019 is a dancing simulation game in which players learn and perform dancing steps by following the dancing coaches on screen.|Ubisoft EMEA|Nintendo Switch, Nintendo Wii, Nintendo Wii U, XBox 360, Xbox One, PlayStation 4
Nintendo Wii U|Just Dance 2018|3|24/10/2017|N|N|N|N|N|N|N|N|Pick your favourite song and dance along with the fun choreography in the newest instalment of this well-known dance simulation series.|Ubisoft EMEA|Nintendo Wii U
Nintendo Wii U|Schlag den Star - Das Spiel|3|15/09/2017|N|N|N|N|N|N|N|N|A party game in which the players can compete in a row of action/trivia mini games. The game takes place in a TV-show environment, with cheering audience and commentary. The characters cannot interact...|bitComposer Interactive GmbH|Nintendo Wii U
Nintendo Wii U|Axiom Verge|12|22/06/2017|Y|N|N|N|N|N|Y|N|Axiom Verge is a side-scroller action-adventure game where the player will control Trace, a man who after suffering a fatal injury wakes up in an ancient and high-tech world.|Professional Publishing SPL, S.L|Nintendo Wii U
Nintendo Wii U|Cars 3: Driven to Win|7|13/06/2017|N|N|N|N|N|N|Y|N|Challenge the well-known characters from the movie franchise âCarsâ to a race and come out as the all-time champion.|Warner Brothers Entertainment UK Ltd|Nintendo Wii U
Nintendo Wii U|Darksiders: Warmastered Edition|18|23/05/2017|N|N|N|N|N|N|Y|N|Defeat the enemies of heaven and hell to restore the balance.|THQ Nordic|Nintendo Wii U, Nintendo Switch
Nintendo Wii U|The Legend of Zelda: Breath of the Wild|12|03/03/2017|N|N|N|N|N|N|Y|N|A new chapter in The Legend of Zelda franchise. Explore and discover in this open world adventure.|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Get Off My Lawn!|7|31/12/2016|N|N|N|N|N|N|Y|N||Digital Leisure Inc.|Nintendo Wii U
Nintendo Wii U|LEGO Dimensions â Fantastic Beasts and Where to Find Themâ¢ Story Pack|7|18/11/2016|N|N|N|Y|N|N|Y|N|A story driven action adventure game which is part of the âLEGO Dimensionsâ franchise. This particular iteration will have you wondering in the universe of âFantastic Beasts and Where to Find Themâ,...|Warner Brothers Entertainment UK Ltd|Nintendo Wii U
Nintendo Wii U|Shantae: Half-Genie Hero|12|15/11/2016|N|N|N|N|N|N|Y|N|Shantae is roused from a deep sleep and, suddenly alert, she plunges into the moonlit forest in search of answers. In nearby Scuttle Town she discovers a mysterious trapdoor, and beyond that, a luminous...|WayForward Technologies, Inc.|Nintendo Wii U
Nintendo Wii U|Just Dance 2017|3|27/10/2016|N|N|N|N|N|N|N|N|Pick your favourite song and dance along with the fun choreography in the newest instalment of this well-known dance simulation series.|Ubisoft EMEA|Nintendo Wii U
Nintendo Wii U|Minecraft: Story Mode - The Complete Adventure|12|18/10/2016|Y|N|N|N|N|N|N|N|Jesse and his group of friends revere the legendary Order of the Stone; four adventurers who slayed an Ender Dragon. The Order are the very best at what they do: Warrior, Redstone Engineer, Griefer, and...|Telltale Games|Nintendo Wii U
Nintendo Wii U|Skylanders Imaginators|7|14/10/2016|N|N|N|Y|N|N|Y|N|Evil Kaos has discovered the ancient power of Mind Magic and is using it to create an unstoppable army of Doomlanders! With help of the Senseis, you have to stop Kaos and his minions and use the power...|Activision Blizzard UK Ltd|Nintendo Wii U
Nintendo Wii U|Paper Mario: Color Splash|3|07/10/2016|N|N|N|N|N|N|N|N|Color is being drained from the world. Mario and his sidekick go looking for the paint stars on Prism Island to restore the color. The game combines traditional role-playing game (RPG) elements with concepts...|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|FAST Racing NEO|3|29/09/2016|N|N|N|N|N|N|N|N||Shin'en Multimedia GmbH|Nintendo Wii U
Nintendo Wii U|SteamWorld Heist|7|29/09/2016|N|N|N|N|N|N|Y|N|Play as Captain Piper and her team of fellow steambots as they explore outer space in pursuit of the galaxyâs dwindling water reserves. Your adventures will take you on board many enemy ships ready to...|Thunderful Publishing AB|Nintendo Wii U
Nintendo Wii U|Unepic|12|01/09/2016|Y|N|N|N|N|N|N|N|2D platform adventure where you play a teenager transported into a dungeons and dragons style RPG and have to find your your way through a castle's labyrinths fighting off attacking enemies.|Francisco Tellez de Meneses (sole vendor)|PlayStation 4, PlayStation Vita, Nintendo Switch, Xbox One, Nintendo Wii U
Nintendo Wii U|Minecraft: WiiU Edition|7|30/06/2016|N|N|N|Y|N|N|Y|N||Microsoft studios|Nintendo Wii U
Nintendo Wii U|LEGO Star Wars: The Force Awakens|7|28/06/2016|N|N|N|Y|N|N|Y|N|A story driven action adventure game which follows the plot of the movie Star Wars: The Force Awakens. The game includes Lego versions of the movieâs characters, who battle against the evil First Order...|Warner Brothers Entertainment UK Ltd|Nintendo Wii U
Nintendo Wii U|Tokyo Mirage Sessions #FE|12|24/06/2016|Y|N|N|N|N|N|Y|N|Set in modern-day Tokyo, our heroes are Mirage Masters who fight back against invading Mirages from another world, while pursuing their careers as entertainers.|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Mario &amp; Sonic at the Rio 2016 Olympic Games|7|24/06/2016|N|N|N|N|N|N|Y|N|This is a sports game in which characters from the Mario and Sonic series compete in a variety of events at the Summer Olympic Games in Rio de Janeiro. Players get to partake in mini-game versions of various...|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Disney Infinity 3.0: Disneyâ¢Pixar Finding Dory Play set|7|15/06/2016|N|N|N|N|N|N|Y|N|This is an add-on to the Disney Infinity 3.0 series. It is set in the Finding Dory universe: swimming through various underwater locales, players go out in search of Doryâs family.|The Walt Disney Company Ltd|Nintendo Wii U
Nintendo Wii U|Dex|16|20/05/2016|Y|N|N|N|N|N|Y|N|Dex, an augmented woman in the Harbor Prime city, has got on the wrong side of âThe Complexâ, a combined authority of the city's largest corporations. They send assassins after her, and she only escapes...|Professional Publishing SPL, S.L|Nintendo Wii U
Nintendo Wii U|The Book of Unwritten Tales 2|12|10/05/2016|Y|N|N|N|N|Y|Y|N|The elf princess Ivo is feeling unwell when it transpires that she is pregnant, although not via conventional means. Join Ivo, Nate and Wilbur on their adventure to find the cause of the epidemic in Seastone...|THQ Nordic|Nintendo Wii U
Nintendo Wii U|Star Fox Zero|7|22/04/2016|N|N|N|N|N|N|Y|N|Star Fox Zero is a 3D scrolling shooter game with a sci-fi theme. As fighter pilot Fox McCloud, you are tasked with saving the Lylat star system from the tyranny of the evil Emperor Andross. Alongside...|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Star Fox Guard|7|22/04/2016|N|N|N|N|N|N|Y|N||Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Mighty No. 9|12|19/04/2016|N|N|N|N|N|N|Y|N|You play as a human looking android called Beck, the ninth of a series of combat robots called Mighty Numbers. A computer virus has attacked your fellow unit and other machines across the globe. Beck must...|Koch Media GmbH (Austria)|Nintendo Wii U
Nintendo Wii U|PixelJunk Monsters|3|14/04/2016|N|N|N|N|N|N|N|N||Double Eleven Limited|Nintendo Wii U
Nintendo Wii U|LEGO Star Wars: The Force Awakens|7|28/06/2016|N|N|N|Y|N|N|Y|N|A story driven action adventure game which follows the plot of the movie Star Wars: The Force Awakens. The game includes Lego versions of the movieâs characters, who battle against the evil First Order...|Warner Brothers Entertainment UK Ltd|Nintendo Wii U
Nintendo Wii U|Tokyo Mirage Sessions #FE|12|24/06/2016|Y|N|N|N|N|N|Y|N|Set in modern-day Tokyo, our heroes are Mirage Masters who fight back against invading Mirages from another world, while pursuing their careers as entertainers.|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Mario &amp; Sonic at the Rio 2016 Olympic Games|7|24/06/2016|N|N|N|N|N|N|Y|N|This is a sports game in which characters from the Mario and Sonic series compete in a variety of events at the Summer Olympic Games in Rio de Janeiro. Players get to partake in mini-game versions of various...|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Disney Infinity 3.0: Disneyâ¢Pixar Finding Dory Play set|7|15/06/2016|N|N|N|N|N|N|Y|N|This is an add-on to the Disney Infinity 3.0 series. It is set in the Finding Dory universe: swimming through various underwater locales, players go out in search of Doryâs family.|The Walt Disney Company Ltd|Nintendo Wii U
Nintendo Wii U|Dex|16|20/05/2016|Y|N|N|N|N|N|Y|N|Dex, an augmented woman in the Harbor Prime city, has got on the wrong side of âThe Complexâ, a combined authority of the city's largest corporations. They send assassins after her, and she only escapes...|Professional Publishing SPL, S.L|Nintendo Wii U
Nintendo Wii U|The Book of Unwritten Tales 2|12|10/05/2016|Y|N|N|N|N|Y|Y|N|The elf princess Ivo is feeling unwell when it transpires that she is pregnant, although not via conventional means. Join Ivo, Nate and Wilbur on their adventure to find the cause of the epidemic in Seastone...|THQ Nordic|Nintendo Wii U
Nintendo Wii U|Star Fox Zero|7|22/04/2016|N|N|N|N|N|N|Y|N|Star Fox Zero is a 3D scrolling shooter game with a sci-fi theme. As fighter pilot Fox McCloud, you are tasked with saving the Lylat star system from the tyranny of the evil Emperor Andross. Alongside...|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Star Fox Guard|7|22/04/2016|N|N|N|N|N|N|Y|N||Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Mighty No. 9|12|19/04/2016|N|N|N|N|N|N|Y|N|You play as a human looking android called Beck, the ninth of a series of combat robots called Mighty Numbers. A computer virus has attacked your fellow unit and other machines across the globe. Beck must...|Koch Media GmbH (Austria)|Nintendo Wii U
Nintendo Wii U|PixelJunk Monsters|3|14/04/2016|N|N|N|N|N|N|N|N||Double Eleven Limited|Nintendo Wii U
Nintendo Wii U|LEGO Star Wars: The Force Awakens|7|28/06/2016|N|N|N|Y|N|N|Y|N|A story driven action adventure game which follows the plot of the movie Star Wars: The Force Awakens. The game includes Lego versions of the movieâs characters, who battle against the evil First Order...|Warner Brothers Entertainment UK Ltd|Nintendo Wii U
Nintendo Wii U|Tokyo Mirage Sessions #FE|12|24/06/2016|Y|N|N|N|N|N|Y|N|Set in modern-day Tokyo, our heroes are Mirage Masters who fight back against invading Mirages from another world, while pursuing their careers as entertainers.|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Mario &amp; Sonic at the Rio 2016 Olympic Games|7|24/06/2016|N|N|N|N|N|N|Y|N|This is a sports game in which characters from the Mario and Sonic series compete in a variety of events at the Summer Olympic Games in Rio de Janeiro. Players get to partake in mini-game versions of various...|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Disney Infinity 3.0: Disneyâ¢Pixar Finding Dory Play set|7|15/06/2016|N|N|N|N|N|N|Y|N|This is an add-on to the Disney Infinity 3.0 series. It is set in the Finding Dory universe: swimming through various underwater locales, players go out in search of Doryâs family.|The Walt Disney Company Ltd|Nintendo Wii U
Nintendo Wii U|Dex|16|20/05/2016|Y|N|N|N|N|N|Y|N|Dex, an augmented woman in the Harbor Prime city, has got on the wrong side of âThe Complexâ, a combined authority of the city's largest corporations. They send assassins after her, and she only escapes...|Professional Publishing SPL, S.L|Nintendo Wii U
Nintendo Wii U|The Book of Unwritten Tales 2|12|10/05/2016|Y|N|N|N|N|Y|Y|N|The elf princess Ivo is feeling unwell when it transpires that she is pregnant, although not via conventional means. Join Ivo, Nate and Wilbur on their adventure to find the cause of the epidemic in Seastone...|THQ Nordic|Nintendo Wii U
Nintendo Wii U|Star Fox Zero|7|22/04/2016|N|N|N|N|N|N|Y|N|Star Fox Zero is a 3D scrolling shooter game with a sci-fi theme. As fighter pilot Fox McCloud, you are tasked with saving the Lylat star system from the tyranny of the evil Emperor Andross. Alongside...|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Star Fox Guard|7|22/04/2016|N|N|N|N|N|N|Y|N||Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Mighty No. 9|12|19/04/2016|N|N|N|N|N|N|Y|N|You play as a human looking android called Beck, the ninth of a series of combat robots called Mighty Numbers. A computer virus has attacked your fellow unit and other machines across the globe. Beck must...|Koch Media GmbH (Austria)|Nintendo Wii U
Nintendo Wii U|PixelJunk Monsters|3|14/04/2016|N|N|N|N|N|N|N|N||Double Eleven Limited|Nintendo Wii U
Nintendo Wii U|Drill Dozer|7|07/01/2016|N|N|N|N|N|N|Y|N||Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Momonga Pinball Adventures|7|31/12/2015|N|N|N|N|N|N|Y|N||Paladin Studios B.V.|Nintendo Wii U
Nintendo Wii U|Super Mario 64 DS|12|24/12/2015|N|N|N|N|Y|N|N|N|Cheerful platformer game. Playing as Yoshi, Mario, Luigi or Wario, you must travel through many fantastical levels to rescue Princess Peach from Bowser.|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Bird Mania Party|3|24/12/2015|N|N|N|N|N|N|N|N|An endless runner type game in which you control a bird and need to collect as much stars as possible.|Teyon|Nintendo Wii U
Nintendo Wii U|Chronicles of Teddy: Harmony of Exidus|7|19/12/2015|N|N|N|N|N|N|Y|N||Aksys Games|Nintendo Wii U
Nintendo Wii U|Disney Infinity 3.0 Star Wars: The Force Awakens Play Set|7|18/12/2015|N|N|N|N|N|N|Y|N|This is a Star Wars themed expansion for the action-adventure game Disney Infinity 3.0. This new iteration draws inspiration from Star Wars: The Force Awakens. Players need a physical toy and portal in...|The Walt Disney Company Ltd|Nintendo Wii U
Nintendo Wii U|Onimusha Tactics|7|17/12/2015|N|N|N|N|N|N|Y|N||Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|New Super Mario Bros.|12|17/12/2015|N|N|N|N|Y|N|N|N|Side-scrolling platform game. Mario travels through eight worlds in pursuit of Bowser Jr who has kidnapped Princess Peach.|Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Human Resource Machine|3|16/12/2015|N|N|N|N|N|N|N|N||Experimental Gameplay Group, LLC (DBA: Tomorrow Corporation, LLC)|Nintendo Wii U
Nintendo Wii U|Fire|7|15/12/2015|N|N|N|N|N|N|Y|N||Daedalic Entertainment GmbH|Nintendo Wii U
Nintendo Wii U|Drill Dozer|7|07/01/2016|N|N|N|N|N|N|Y|N||Nintendo of Europe GmbH|Nintendo Wii U
Nintendo Wii U|Momonga Pinball Adventures|7|31/12/2015|N|N|N|N|N|N|Y|N||Paladin Studios B.V.|Nintendo Wii U
Nintendo Wii U|Super Mario 64 DS|12|24/12/2015|N|N|N|N|Y|N|N|N|Cheerful platformer game. Playing as Yoshi, Mario, Luigi or Wario, you must travel through many fantastical levels to rescue Princess Peach from Bowser.|Nintendo of Europe GmbH|Nintendo Wii U
