platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Nintendo Wii|Just Dance 2020|3|05/11/2019|N|N|N|N|N|N|N|Y|Gather your friends and family and dance like nobody's watching on 40 new hot tracks. Enjoy a huge catalogue of over 500 songs with Just Dance Unlimited, the dance-on-demand subscription streaming service....|Ubisoft EMEA|Nintendo Switch, Nintendo Wii, PlayStation 4, Xbox One, Stadia
Nintendo Wii|Just Dance 2019|3|25/10/2018|N|N|N|N|N|N|N|N|Just Dance 2019 is a dancing simulation game in which players learn and perform dancing steps by following the dancing coaches on screen.|Ubisoft EMEA|Nintendo Switch, Nintendo Wii, Nintendo Wii U, XBox 360, Xbox One, PlayStation 4
Nintendo Wii|Let's Sing 2019 mit deutschen Hits|12|12/10/2018|Y|N|N|N|N|Y|N|N|Let's Sing 2019 mit deutschen Hits is a karaoke game with different singing modes like duet or asynchronous online challenges. The better you sing the higher you will rank on the global leader boards.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Let's Sing 11|12|12/10/2018|Y|N|N|N|N|Y|N|N|Let's Sing 11 is a karaoke game with different singing modes like duet or asynchronous online challenges. The better you sing the higher you will rank on the global leader boards.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Let's Sing 2019 Hit's franÃ§ais et internationaux|12|12/10/2018|Y|N|N|N|N|Y|Y|N|Let's Sing 2019 Hit's franÃ§ais et internationaux is a karaoke game with different singing modes like duet or asynchronous online challenges. The better you sing the higher you will rank on the global...|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Let's Sing 2019|12|12/10/2018|Y|N|N|N|N|Y|N|N|Let's Sing 2019 is a karaoke game with different singing modes like duet or asynchronous online challenges. The better you sing the higher you will rank on the global leader boards.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Just Dance 2018|3|24/10/2017|N|N|N|N|N|N|N|N|Pick your favourite song and dance along with the fun choreography in the newest instalment of this well-known dance simulation series.|Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Let's Sing 2018|12|13/10/2017|Y|N|N|N|N|Y|Y|N|Sing along to all your favourite international hits.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Let's Sing 2018 Hits franÃ§ais et internationaux|12|13/10/2017|Y|N|N|N|N|Y|Y|N|Sing along to all your favourite international and French hits.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Let's Sing 10|12|13/10/2017|N|N|N|N|N|Y|Y|N|Sing along to all your favourite international and Spanish hits.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Let's Sing 2018 mit deutschen Hits|12|13/10/2017|Y|N|N|N|N|Y|Y|N|Sing along to all your favourite international and German hits.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Just Dance 2017|3|27/10/2016|N|N|N|N|N|N|N|N|Pick your favourite song and dance along with the fun choreography in the newest instalment of this well-known dance simulation series.|Ubisoft EMEA|Nintendo Wii
Nintendo Wii|Let's Sing 2017|12|14/10/2016|Y|N|N|N|N|Y|Y|N|Sing along to a collection of International hits.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Let's Sing 9 - VersiÃ³n EspaÃ±ola|12|14/10/2016|N|N|N|N|N|Y|N|N|Sing along to a collection of Spanish hits.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Let's Sing 2017 mit deutschen Hits|12|14/10/2016|Y|N|N|N|N|Y|Y|N|Sing along to a collection of German hits.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Let's Sing 2017 Hits FranÃ§ais &amp; Internationaux|12|14/10/2016|N|N|N|N|N|Y|Y|N|Sing along to a collection of French and international hits.|Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|The Voice|12|14/10/2016|Y|N|N|N|N|Y|Y|N|Sing along to all your favorite international hits.|Bigben Interactive SA|Nintendo Wii
Nintendo Wii|The Voice of Germany - I want you|12|14/10/2016|Y|N|N|N|N|Y|Y|N|Sing along to all your favorite international and German hits.|Bigben Interactive SA|Nintendo Wii
Nintendo Wii|The Voice, la plus belle voix|12|14/10/2016|N|N|N|N|N|Y|Y|N|Sing along to all your favorite international and French hits.|Bigben Interactive SA|Nintendo Wii
Nintendo Wii|La Voz - Quiero tu voz|12|14/10/2016|N|N|N|N|N|N|Y|N|Sing along to all your favorite international and Spanish hits.|Bigben Interactive SA|Nintendo Wii
Nintendo Wii|Monster High: New Ghoul in School|3|13/11/2015|N|N|N|N|N|N|N|N||Little Orbit Europe, LTD.|Nintendo Wii
Nintendo Wii|Letâs Sing 2016 : Hits franÃ§ais|12|06/11/2015|N|N|N|N|N|Y|Y|N||Koch Media GmbH (Austria)|Nintendo Wii
Nintendo Wii|Barbie and Her Sisters Puppy Rescue|3|06/11/2015|N|N|N|N|N|N|N|N||Little Orbit Europe, LTD.|Nintendo Wii
Nintendo Wii|La Voz 3|12|30/10/2015|N|N|N|N|N|Y|N|N||Professional Publishing SPL, S.L|Nintendo Wii
