platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
PlayStation 3|Grand Theft Auto|16|30/04/2020|Y|N|N|N|N|N|Y|N|2D top down view free roam action game. Gameplay is based around being a criminal and includes stealing cars, shooting other gangsters, shooting pedestrians, driving over people and fighting off the...|Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Grand Theft Auto 2|18|30/04/2020|N|N|N|N|N|N|Y|N||Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Borderlands: The Pre-Sequel Ultimate Edition|18|03/04/2020|Y|N|N|N|Y|N|Y|N|Borderlands The Pre-Sequel including DLC|Take2 Interactive Software Europe ltd|XBox 360, Playstation 3
PlayStation 3|Crimes &amp; Punishments - Sherlock Holmes|16|10/02/2020|N|N|Y|N|N|N|Y|N|Sherlock Holmes: Crimes and Punishments is an investigation game where one can play as a fictional character of famous XIX century private detective Sherlock Holmes. Actions in the game take place mostly...|Frogwares Ireland Ltd|PlayStation 4, Playstation 3
PlayStation 3|Shakedown: Hawaii|16|07/05/2019|N|N|N|N|N|N|Y|N|Build your own "legitimate" corporation by completing open world missions, acquiring businesses, sabotaging competitors, "re-zoning" land, and shaking down shops for protection money.|Vblank Entertainment Inc|PlayStation 4, PlayStation Vita, Playstation 3
PlayStation 3|Bioshock Infinite The Complete Edition|18|11/11/2018|Y|N|N|N|Y|N|Y|N|Bioshock Infinite Complete Edition encompasses four games. The original game and Clash in the Clouds DLC are set in floating dystopia, Columbia, in 1912 and focus on Booker DeWittâs attempt to liberate...|Take2 Interactive Software Europe ltd|Playstation 3, PC, PlayStation 4, Xbox One
PlayStation 3|FIFA 19|3|28/09/2018|N|N|N|N|N|N|N|N|This is a soccer simulation game in which players engage in realistic matches with teams across international leagues. Players can practice penalty kicks, assign on-field strategies, and participate in...|EA Swiss Sarl|Playstation 3, XBox 360
PlayStation 3|Rainbow Skies|12|27/06/2018|Y|N|N|N|N|N|N|N|It's a big day for Damion: Today is his final examination as a monster tamer, an important profession in his home town, which is constantly threatened by monster attacks. However, after a terrible hangover,...|Eastasiasoft Limited|PlayStation 4, Playstation 3, PlayStation Vita
PlayStation 3|The Surfer|3|12/12/2017|N|N|N|N|N|N|N|N|This is a surf simulation game. Players can select different surfers, surfboards, locales and competitions to demonstrate their surf skills.|Bungarra Software Pty Ltd|Playstation 3
PlayStation 3|UNDER NIGHT IN-BIRTH Exe:Late[st]|12|01/12/2017|Y|N|N|N|N|N|Y|N|2D classic arcade style fighting game.|PQube Limited|Playstation 3
PlayStation 3|Grand Theft Auto|16|30/04/2020|Y|N|N|N|N|N|Y|N|2D top down view free roam action game. Gameplay is based around being a criminal and includes stealing cars, shooting other gangsters, shooting pedestrians, driving over people and fighting off the...|Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Grand Theft Auto 2|18|30/04/2020|N|N|N|N|N|N|Y|N||Take2 Interactive Software Europe ltd|Playstation 3
PlayStation 3|Borderlands: The Pre-Sequel Ultimate Edition|18|03/04/2020|Y|N|N|N|Y|N|Y|N|Borderlands The Pre-Sequel including DLC|Take2 Interactive Software Europe ltd|XBox 360, Playstation 3
PlayStation 3|Crimes &amp; Punishments - Sherlock Holmes|16|10/02/2020|N|N|Y|N|N|N|Y|N|Sherlock Holmes: Crimes and Punishments is an investigation game where one can play as a fictional character of famous XIX century private detective Sherlock Holmes. Actions in the game take place mostly...|Frogwares Ireland Ltd|PlayStation 4, Playstation 3
PlayStation 3|Shakedown: Hawaii|16|07/05/2019|N|N|N|N|N|N|Y|N|Build your own "legitimate" corporation by completing open world missions, acquiring businesses, sabotaging competitors, "re-zoning" land, and shaking down shops for protection money.|Vblank Entertainment Inc|PlayStation 4, PlayStation Vita, Playstation 3
PlayStation 3|Bioshock Infinite The Complete Edition|18|11/11/2018|Y|N|N|N|Y|N|Y|N|Bioshock Infinite Complete Edition encompasses four games. The original game and Clash in the Clouds DLC are set in floating dystopia, Columbia, in 1912 and focus on Booker DeWittâs attempt to liberate...|Take2 Interactive Software Europe ltd|Playstation 3, PC, PlayStation 4, Xbox One
PlayStation 3|FIFA 19|3|28/09/2018|N|N|N|N|N|N|N|N|This is a soccer simulation game in which players engage in realistic matches with teams across international leagues. Players can practice penalty kicks, assign on-field strategies, and participate in...|EA Swiss Sarl|Playstation 3, XBox 360
PlayStation 3|Rainbow Skies|12|27/06/2018|Y|N|N|N|N|N|N|N|It's a big day for Damion: Today is his final examination as a monster tamer, an important profession in his home town, which is constantly threatened by monster attacks. However, after a terrible hangover,...|Eastasiasoft Limited|PlayStation 4, Playstation 3, PlayStation Vita
PlayStation 3|The Surfer|3|12/12/2017|N|N|N|N|N|N|N|N|This is a surf simulation game. Players can select different surfers, surfboards, locales and competitions to demonstrate their surf skills.|Bungarra Software Pty Ltd|Playstation 3
PlayStation 3|UNDER NIGHT IN-BIRTH Exe:Late[st]|12|01/12/2017|Y|N|N|N|N|N|Y|N|2D classic arcade style fighting game.|PQube Limited|Playstation 3
