platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Playstation Vita|EMMA - Lost in Memories|3|30/04/2020|N|N|N|N|N|N|N|N|EMMA: Lost in Memories is a 2D puzzle platformer game in which all the platforms and walls start disappearing progressively as you touch them. Think, strategize, run, jump and feel in a surreal and poetic...|JANDUSOFT S.L.|PlayStation 4, PlayStation Vita
Playstation Vita|Active Neurons - Puzzle game|3|29/04/2020|N|N|N|N|N|N|N|N|Active Neurons is a puzzle game in which you have to charge brain neurons.|Evgeniy Kolpakov|PlayStation 4, PlayStation Vita
Playstation Vita|Wurroom|7|01/04/2020|N|N|N|Y|N|N|N|N|Experience a 10 minute dive into the unknown depths of the multiverse!|Evgeniy Kolpakov|PlayStation Vita
Playstation Vita|Random Heroes: Gold Edition|7|31/03/2020|N|N|N|N|N|N|Y|N|A portal has opened to another dimension and thousands of zombies are in the streets sowing chaos. It takes a hero capable of cleaning the city. Get coins that you can exchange for new weapons and thus...|Ratalaika Games S.L.|PlayStation 4, PlayStation Vita
Playstation Vita|Super Destronaut: Land Wars|7|31/03/2020|N|N|N|N|N|N|Y|N|Super Destronaut: Land Wars is FPS about destroying 2D aliens.|Ratalaika Games S.L.|PlayStation 4, PlayStation Vita
Playstation Vita|Guard Duty|12|31/03/2020|Y|N|N|N|N|N|Y|N|Guard Duty is a comedy adventure about love, loss and the end of the world. Experience an unforgettable story spanning across two radically different time periods.|Ratalaika Games S.L.|PlayStation 4, PlayStation Vita
Playstation Vita|Battle Rockets|3|31/03/2020|N|N|N|N|N|N|N|N|Battle Rockets is a unique "SHMUP Fighter", where each player chooses a sideâliterally! Players each hold one side of a PS Vita system, using their controls to blast lasers at one another Three multiplayer...|Gumbo Machine, LLC|PlayStation Vita
Playstation Vita|Thunder Paw|7|31/03/2020|N|N|N|N|N|N|Y|N|Thunder was playing ball near the house when suddenly a loud explosion was heard, so powerful that it destroyed the windows of the family home and dropped the trees nearby. He ran home, but found nobody...|Ratalaika Games S.L.|PlayStation 4, PlayStation Vita
Playstation Vita|Blind Men|16|25/03/2020|Y|N|N|N|N|N|N|N|A boys' love visual novel about an aspiring super villain and the spies he meets while trying to make a name for himself.|Ratalaika Games S.L.|PlayStation 4, PlayStation Vita
Playstation Vita|Twin Breaker: A Sacred Symbols Adventure|12|25/03/2020|Y|N|N|N|N|N|N|N|When clues emerge as to the whereabouts of the missing spacecraft, two talented pilots jump through a wormhole and into the unknown in a story-driven brick breaker in the spirit of Arkanoid and Breakout.|Lillymo Games Inc.|PlayStation Vita, PlayStation 4
Playstation Vita|Explosive Jake|3|18/03/2020|N|N|N|N|N|N|N|N|Help the little skeleton to explode the way out from dark dungeon and not explode himself|Evgeniy Kolpakov|PlayStation 4, PlayStation Vita
Playstation Vita|Color Slayer|3|10/03/2020|N|N|N|N|N|N|N|N|Move fast to avoid obstacles, and use your colored swords to cut down enemies. Act fast to build your combo, gain points, climb the leaderboards and unlock additional outfits.|The Domaginarium|PlayStation 4, PlayStation Vita
Playstation Vita|Breeder Homegrown: Director's Cut|16|06/03/2020|Y|N|N|N|N|N|N|N|An old man escapes from the clinic where he spent his whole life and returns home. He remembers his childhood. His toys. His monsters.|Evgeniy Kolpakov|PlayStation Vita, PlayStation 4
Playstation Vita|Epic Word Search Collection|3|02/03/2020|N|N|N|N|N|N|N|N|A collection of 4 giant word search puzzles|Lightwood Consultancy Ltd (trading as Lightwood Games)|PlayStation 4, PlayStation Vita
Playstation Vita|Radio Squid|3|29/02/2020|N|N|N|N|N|N|N|N|Underwater shoot âem up with a cute squid collect coins, bullets are affected by the beat of the song.|Ratalaika Games S.L.|PlayStation 4, PlayStation Vita
Playstation Vita|Syrup and the Ultimate Sweet|3|29/02/2020|N|N|N|N|N|N|N|N|SYRUP AND THE ULTIMATE SWEET is a visual novel made for YuriJam 2015! it's about a candy alchemist, Syrup, who one day finds a candy golem in her basement workshop.|Ratalaika Games S.L.|PlayStation 4, PlayStation Vita
Playstation Vita|Bucket Knight|7|28/02/2020|N|N|N|N|N|N|Y|N|Even knights still have to pay taxes, loans and alimony. Help the brave knight in his sacred mission to find the Holy Grail (and then sell it). Explore dungeons, slay enemies, avoid traps, stay alive and...|Evgeniy Kolpakov|PlayStation 4, PlayStation Vita
Playstation Vita|Vasilis|12|26/02/2020|Y|N|N|N|N|N|N|N|Vasilis is a harmless old woman. She wakes up in her normal world of fire, anarchy, and violence. Provoked by a dead body found outside her home, she veers into a reality far beyond her demeanor. She'll...|Evgeniy Kolpakov|PlayStation 4, PlayStation Vita
Playstation Vita|Zero Zero Zero Zero|3|05/02/2020|N|N|N|N|N|N|N|N|With 100 levels that will either make or break players, 0000 is an unforgiving 1-bit low-fi platformer that will challenge players, whilst pleasing their ears with a spectacular soundtrack for players...|Ratalaika Games S.L.|PlayStation 4, PlayStation Vita
Playstation Vita|Just a Phrase by POWGI|3|04/02/2020|N|N|N|N|N|N|N|N|A hangman-style word game, using familiar-sounding phrases.|Lightwood Consultancy Ltd (trading as Lightwood Games)|PlayStation 4, PlayStation Vita
Playstation Vita|Reed Remastered|3|02/02/2020|N|N|N|N|N|N|N|N|Once in a beautiful and mysterious world, something strange happened... The old supercomputer that created this world started to break down, it started to lose information cubes. It needed help to calibrate...|Ratalaika Games S.L.|PlayStation 4, PlayStation Vita
