platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Xbox 360|Borderlands: The Pre-Sequel Ultimate Edition|18|03/04/2020|Y|N|N|N|Y|N|Y|N|Borderlands The Pre-Sequel including DLC|Take2 Interactive Software Europe ltd|XBox 360, Playstation 3
Xbox 360|Citadel: Forged With Fire|16|31/05/2019|N|N|N|N|N|N|Y|N|Citadel: Forged With Fire is a massive online sandbox RPG with elements of magic, spellcasting and inter-kingdom conflict. As a newly minted apprentice of the magic arts, you will set off to investigate...|Blue Isle Studios|PlayStation 4, XBox 360, Xbox One
Xbox 360|Just Dance 2019|3|25/10/2018|N|N|N|N|N|N|N|N|Just Dance 2019 is a dancing simulation game in which players learn and perform dancing steps by following the dancing coaches on screen.|Ubisoft EMEA|Nintendo Switch, Nintendo Wii, Nintendo Wii U, XBox 360, Xbox One, PlayStation 4
Xbox 360|FIFA 19|3|28/09/2018|N|N|N|N|N|N|N|N|This is a soccer simulation game in which players engage in realistic matches with teams across international leagues. Players can practice penalty kicks, assign on-field strategies, and participate in...|EA Swiss Sarl|Playstation 3, XBox 360
Xbox 360|Super Street: The Game|3|11/09/2018|N|N|N|N|N|N|N|N|A race game in which you can customize your car. Giving players the option to personalize their ride with over 700 parts to choose from.|2tainment GmbH|PlayStation 4, XBox 360, PC, Xbox One
Xbox 360|Minecraft: Story Mode - Season Two - Episode 5: Above and Beyond|7|19/12/2017|N|N|N|Y|N|N|Y|N|Minecraft Story Mode â Season Two Episode 4 is a continuation of the narrative-driven graphic adventures of Jessie and friends.|Telltale Games|XBox 360
Xbox 360|Minecraft: Story Mode - Season Two - Episode 4: Below the Bedrock|7|30/10/2017|N|N|N|Y|N|N|Y|N|Minecraft Story Mode â Season Two Episode 4 is a continuation of the narrative-driven graphic adventures of Jessie and friends.|Telltale Games|XBox 360
Xbox 360|Just Dance 2018|3|24/10/2017|N|N|N|N|N|N|N|N|Pick your favourite song and dance along with the fun choreography in the newest instalment of this well-known dance simulation series.|Ubisoft EMEA|XBox 360
Xbox 360|FIFA 18|3|29/09/2017|N|N|N|N|N|N|N|N|FIFA 18 is the newest instalment in EA Sports' long-running football simulator franchise. Compete in football matches with popular teams like Real Madrid, Bayern MÃ¼nchen and FC Barcelona.|EA Swiss Sarl|XBox 360
Xbox 360|Minecraft: Story Mode - Season Two - Episode 3: Jailhouse Block|7|18/09/2017|N|N|N|Y|N|N|Y|N|Minecraft Story Mode â Season Two Episode 3 is a continuation of the narrative-driven graphic adventures of Jessie and friends.|Telltale Games|XBox 360
Xbox 360|NBA 2K18|3|15/09/2017|N|N|N|N|N|N|N|N|This is a realistic basketball simulation game in which the player can compete in matches or manage a team. The matches are realistically portrayed. It is not possible to perform any violent actions.|Take2 Interactive Software Europe ltd|XBox 360
Xbox 360|PES 2018 Pro Evolution Soccer|3|14/09/2017|N|N|N|N|N|N|N|N|This is a soccer simulation game with realistic 3D graphics and authentic gameplay. Players can choose their favourite team and play a casual match, compete in online games or lead their team to the finals...|Konami Digital Entertainment BV|XBox 360
Xbox 360|Minecraft: Story Mode - Season Two - Episode 2: Giant Consequences|7|15/08/2017|N|N|N|N|N|N|Y|N|Minecraft Story Mode â Season Two âEpisode 2 is a continuation of the narrative-driven graphic adventures of Jessie and friends and saving Beacontown.|Telltale Games|XBox 360
Xbox 360|Minecraft: Story Mode - Season Two - Season Pass Disc|7|26/06/2017|N|N|N|N|N|N|Y|N|Minecraft Story Mode â Season Two â Season Pass Disc is a continuation of the narrative-driven graphic adventures of Jessie and friends and saving Beacontown.|Telltale Games|XBox 360
Xbox 360|Cars 3: Driven to Win|7|13/06/2017|N|N|N|N|N|N|Y|N|Challenge the well-known characters from the movie franchise âCarsâ to a race and come out as the all-time champion.|Warner Brothers Entertainment UK Ltd|XBox 360
