platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Xbox One|Moving Out|3|28/04/2020|N|N|N|N|N|N|N|N|Become a certified removals master in this action, puzzle, physics based moving simulator that brings new meaning to "couch co-op". In Moving Out players can train alone or with friends to learn the doâs...|Team17 Digital Limited|Nintendo Switch, Xbox One, PlayStation 4
Xbox One|MotoGP20|3|23/04/2020|N|N|N|N|N|N|N|Y|MotoGPâ¢20 is a bike racing game based on the officialÂ&nbsp;MotoGPâ¢Â&nbsp;license. Set in the current time and depicted as a realistic representation of the real championship. The main aim of MotoGPâ¢20 is...|Milestone S.r.l.|PlayStation 4, Xbox One, Nintendo Switch, PC, Stadia
Xbox One|Snooker 19 Gold Edition|3|17/04/2020|N|N|N|N|N|N|N|N|Snooker 19 will deliver the most authentic, realistic, and best-looking snooker game ever made with multiplayer modes, a single player career mode linked to real tournaments and compelling TV style presentation....|RipstoneLTD|PlayStation 4, Xbox One
Xbox One|Hellpoint|12|16/04/2020|N|N|N|N|N|N|Y|N|Hellpoint is a dark sci fi action RPG set in the aftermath of a massive quantum cataclysm. Every living being quickly lost their mind as their memories and bodies were merged with alternate versions of...|tinyBuild GAMES|Nintendo Switch, PlayStation 4, Xbox One, PC
Xbox One|FAR: Lone Sails|7|12/04/2020|N|N|N|Y|N|N|N|N|Traverse a dried-out seabed littered with the remains of a decaying civilization. Keep your unique vessel going, overcome numerous obstacles and withstand the hazardous weather conditions. How far can...|Mixtvision|Xbox One
Xbox One|LA-MULANA 1 &amp; 2|12|10/04/2020|Y|N|N|N|N|Y|Y|N|This is a compilation title of LA-MULANA 1 and LA-MULANA 2. In LA-MULANA 1, players control Lemeza Kosugi, a renowned archaeologist who wants to seek out the hidden treasures of the ruins. In LA-MULANA...|NIS America, Inc|PlayStation 4, Nintendo Switch, Xbox One
Xbox One|Construction Simulator 3 - Console Edition|3|07/04/2020|N|N|N|N|N|N|N|N|Construction Simulator 3 returns to Europe! Discover an idyllic European town with officially licensed vehicles by famous brands: Caterpillar, Liebherr, CASE, Bobcat, Palfinger, STILL, MAN, ATLAS, Bell,...|Astragon Entertainment GmbH|PlayStation 4, Xbox One
Xbox One|Minecraft Dungeons|7|07/04/2020|N|N|N|Y|N|N|Y|N|3D isometric, action-adventure game set in the Minecraft Universe and inspired by classic dungeon crawlers. Up to four players can join a game together and fight through 9 distinctly different biomes...|Microsoft studios|PC, Xbox One, PlayStation 4, Nintendo Switch
Xbox One|Beyond Blue|7|07/04/2020|N|N|N|Y|N|N|N|N|Set in the near future, players explore the mysteries of our ocean through the eyes of Mirai, the lead on a newly formed research team that will use groundbreaking technologies to see, hear, and sense...|E-Line Media|Xbox One
Xbox One|Slime Rancher: Deluxe Edition|3|07/04/2020|N|N|N|N|N|N|N|N|Play as Beatrix LeBeau: a plucky, young rancher who sets out for a life a thousand light years away on the âFar, Far Range.â Each day will present new challenges and risky opportunities as you attempt...|Skybound Games|PlayStation 4, Xbox One
Xbox One|HyperParasite|16|03/04/2020|Y|N|N|N|N|N|Y|N|A rogue-lite twin-stick shooter/brawler that never plays the same twice. Collect and control 60 different characters as the body-snatching alien Parasite with a grudge against humanity. Fight to the top...|Troglobytes Games, S.L.|PlayStation 4, Nintendo Switch, Xbox One, PC
Xbox One|Resident Evil 3|18|03/04/2020|Y|N|N|N|N|N|Y|Y|-|CE Europe Ltd.|Xbox One
Xbox One|Resident Evil 3|18|03/04/2020|Y|N|N|N|N|N|Y|N|This is a remake of the original Resident Evil 3. This is a third-person shooter in the survival-horror genre, in which the player explores an environment infested with zombies, solving puzzles and mysteries,...|CE Europe Ltd.|PlayStation 4, Xbox One, PC
Xbox One|Resident Evil Resistance|18|03/04/2020|Y|N|N|N|N|N|Y|Y|Resident Evil Resistance is a competitive online multiplayer game in which one player must prevent four other captive players from escaping from a terrifying test facility populated by Umbrella Corp's...|CE Europe Ltd.|PlayStation 4, Xbox One, PC
Xbox One|Remnant: From the Ashes|16|31/03/2020|Y|N|N|N|N|N|Y|N|The world has been thrown into chaos by an ancient evil from another dimension. As one of the last remnants of humanity, you must set out alone or alongside up to two other survivors to face down hordes...|Perfect World Entertainment Inc.|PlayStation 4, Xbox One, PC
Xbox One|Goosebumps Dead of Night|12|31/03/2020|Y|N|N|N|N|N|Y|N|Based off the books by R.L. Stine, you play as the young Twist in this survival horror game. Hiding from monsters, solving puzzles and shooting gummy bears,|Cosmic Forces|PlayStation 4, Xbox One, Nintendo Switch, PC
Xbox One|Call of DutyÂ®: Modern WarfareÂ® 2 Campaign Remastered|18|31/03/2020|Y|N|N|N|N|N|Y|N|Call of Duty Modern Warfare 2 Campaign Remastered is a combat simulation game in which the player takes the roles of various members of a Special Operations team attempting to thwart the plans of a Russian...|Activision Blizzard UK Ltd|PlayStation 4, Xbox One, PC
Xbox One|SnowRunner|3|31/03/2020|N|N|N|N|N|N|N|N|The player drives different trucks to fulfill tasks. Each truck can be customized in the garage to better suit needs. Player can install modules like cranes, winches and chained wheels or add log carts,...|Focus Home Interactive|PC, PlayStation 4, Xbox One
Xbox One|LEGO Marvel Collection|7|27/03/2020|N|N|N|Y|N|N|Y|N|-|Warner Brothers Entertainment UK Ltd|Xbox One
Xbox One|Immortal Realms: Vampire Wars|16|27/03/2020|N|N|N|N|N|N|Y|N|Immortal Realms: Vampire Wars is a strategy game set in a dark vampire world in turmoil, that combines empire management and turn-based combat with unique card-game elements.|Kalypso Media GmbH|PC, PlayStation 4, Xbox One, Nintendo Switch
Xbox One|Gigantosaurus The Game|3|27/03/2020|N|N|N|N|N|N|N|N|Gigantosaurus the game is a charming adventure and racing game for up to 4 players simultaneously on screen. The core of the game will be playing the adventure where Bill, Mazu, Rocky and Tiny. The gameplay...|Outright Games|Nintendo Switch, Xbox One, PlayStation 4, PC
Xbox One|ONE PIECE: PIRATE WARRIORS 4|12|27/03/2020|Y|N|N|N|N|N|Y|Y|In One Piece: Pirate Warriors 4, Luffy and the Straw Hats make their journey through different islands and onwards in the hopes of ï¬nding the illustrious treasure, the One Piece and becoming the Pirate...|BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|PlayStation 4, Xbox One, Nintendo Switch, PC
Xbox One|Wonder Blade|16|27/03/2020|N|N|N|N|N|N|Y|N|Side scrolling hack and slash in which the playerâs character is a knight who is on a mission to save a princess.|East2west Network Tech. Co. Ltd.|PlayStation 4, Xbox One, Nintendo Switch
Xbox One|Borderlands 3: Guns, Love, and Tentacles: The Marriage of Wainwright &amp; Hammerlock|18|26/03/2020|Y|N|N|N|Y|N|Y|Y|Hammerlock and Wainwright are inviting you to their engagement party on the ice planet of Xylourgos. Fight back against forces of otherworldly evil with the help of the galaxy's most badass wedding planner,...|Take2 Interactive Software Europe ltd|PlayStation 4, PC, Xbox One, Stadia
Xbox One|Bleeding Edge|12|24/03/2020|Y|N|N|N|N|N|Y|N|Bleeding Edge is a multiplayer focused game involving teams of four players, with a heavy emphasis on melee combat.|Ninja Theory Ltd.|Xbox One, PC
Xbox One|Yu-Gi-Oh! Legacy of the Duelist: Link Evolution|7|20/03/2020|N|N|N|Y|N|N|N|N|This video game is based on a Japanese anime series, Yu-Gi-Oh!, where characters in the show battle in a series of card games. In this video game, players follow the stories of the characters in the anime...|Konami Digital Entertainment BV|PlayStation 4, Xbox One, PC, Nintendo Switch
Xbox One|DOOM Eternal|18|20/03/2020|N|N|N|N|N|N|Y|N|As the DOOM Slayer, you return to find Earth has suffered a demonic invasion. Raze Hell and discover the Slayerâs origins and his enduring mission to rip and tearâ¦until it is done.|ZeniMax Europe Limited/Bethesda Softworks Europe|PlayStation 4, Xbox One, PC, Nintendo Switch, Stadia
Xbox One|R.B.I. Baseball 20|3|16/03/2020|N|N|N|N|N|N|N|N|Unleash Greatness with your MLB crew in R.B.I. Baseball 20! R.B.I. 20 redefines arcade baseball action with massive advancements including brand new batting, pitching, &amp; base running controls, all-new...|MLB Advanced Media, L.P.|Nintendo Switch, PlayStation 4, Xbox One
Xbox One|Roundguard|3|16/03/2020|N|N|N|N|N|N|N|N|Roundguard is a bouncy dungeon crawler with pinball physics, lots of loot, and a randomized castle full of oddballs. Press your luck against hordes of dangerously cute monsters and challenging roguelike...|The Quantum Astrophysicists Guild|PlayStation 4, Xbox One, Nintendo Switch, PC
Xbox One|Wheel Of Fortune|3|15/03/2020|N|N|N|N|N|N|N|N|Spin the wheel and solve up to 4,000 unique puzzles, competing against friends, family, and online players around the world to climb the global leaderboard. Play classic mode to enjoy the authentic TV...|Ubisoft EMEA|Nintendo Switch, PlayStation 4, Xbox One
Xbox One|Gigantosaurus The Game|3|27/03/2020|N|N|N|N|N|N|N|N|Gigantosaurus the game is a charming adventure and racing game for up to 4 players simultaneously on screen. The core of the game will be playing the adventure where Bill, Mazu, Rocky and Tiny. The gameplay...|Outright Games|Nintendo Switch, Xbox One, PlayStation 4, PC
